id,t,d+1,d,L,eps,U
5,8,1.0,1.0,1.0,-0.42703446386972177,54.40590588905934
5,9,1.0,1.0,1.0,2.4240513658295626,56.17367624817094
5,10,1.0,1.0,1.0,0.8140734324819727,53.48038284423568
5,11,1.0,1.0,1.0,1.2242648518446033,52.80725879301062
5,12,1.0,1.0,1.0,0.5571565095846893,51.05683498016302
5,13,1.0,1.0,1.0,0.3314740836984678,49.74783708368912
5,14,1.0,1.0,1.0,1.3047535082380621,49.63780103764103
5,15,1.0,1.0,1.0,1.2350894911463877,48.48482154996167
5,16,1.0,1.0,1.0,0.7479302279742209,46.91434681620182
5,17,1.0,1.0,1.0,1.4623904993625483,46.54549161700246
5,18,1.0,1.0,1.0,-0.024039159254140543,43.97574648779809
5,19,1.0,1.0,1.0,0.12367672145457863,43.04014689791912
5,20,1.0,1.0,1.0,0.6484884533391994,42.481643159216055
5,21,1.0,1.0,1.0,-0.6559263845706581,40.09391285071852
5,22,1.0,1.0,1.0,-0.2382927583287486,39.42823100637274
5,23,1.0,1.0,1.0,0.8043249676517814,39.38753326176558
5,24,2.0,1.0,0.0,-1.8442334038420902,36.49989282352612
5,25,2.0,2.0,1.0,-0.09332693631984454,36.323250416618585
5,26,2.0,2.0,1.0,0.7809947121016463,36.11425659445239
5,27,2.0,2.0,1.0,1.1792734055749938,35.42921981733806
5,28,2.0,2.0,1.0,1.2026914908899884,34.36932243206537
5,29,2.0,2.0,1.0,-0.2230557064031973,31.86025976418449
5,30,2.0,2.0,1.0,0.6048878075434369,1000.6048878075435
6,1,0.0,0.0,1.0,0.3036509859514952,62.71979963299434
6,2,0.0,0.0,1.0,-0.9875167068356623,60.3453164696195
6,3,0.0,0.0,1.0,-0.5185068003364128,59.731010905531065
6,4,0.0,0.0,1.0,0.9667753021171396,60.13297753739694
6,5,0.0,0.0,1.0,0.09501718250558333,58.1779039471977
6,6,0.0,0.0,1.0,-0.41193762152269126,56.58763367258174
6,7,0.0,0.0,1.0,0.469867436248917,56.38612325976567
6,8,0.0,0.0,1.0,-0.778100135515878,54.05484021741319
6,9,0.0,0.0,1.0,0.20007487625607062,53.94969975859745
6,10,0.0,0.0,1.0,1.3830763014010121,54.04938571315471
6,11,0.0,0.0,1.0,1.7056067445533039,53.28860068571932
6,12,0.0,0.0,1.0,-0.35864969567918087,50.14102877489915
6,13,0.0,0.0,1.0,0.07732695730203372,49.49368995729269
6,14,0.0,0.0,1.0,0.673523161864152,49.00657069126712
6,15,0.0,0.0,1.0,1.1857257196912832,48.43545777850657
6,16,0.0,0.0,1.0,0.09851788809430181,46.2649344763219
6,17,0.0,0.0,1.0,0.43640325710615696,45.51950437474607
6,18,0.0,0.0,1.0,-0.9583211190426879,43.04146452800954
6,19,1.0,0.0,0.0,-1.0913085436183743,41.91647017646454
6,20,2.0,1.0,0.0,-2.4065819073859465,40.83315470587686
6,21,2.0,2.0,1.0,-0.3509945457065446,40.39884468958263
6,22,2.0,2.0,1.0,0.46849856907404425,40.13502233377553
6,23,2.0,2.0,1.0,0.19120510901896487,38.77441340313277
6,24,2.0,2.0,1.0,-0.8897809873445083,36.61011183618161
6,25,2.0,2.0,1.0,0.5272665542045013,36.943843907142934
6,26,2.0,2.0,1.0,0.45248025756555,35.785742139916294
